HPO编号	名称(英文)	名称(中文)	定义(英文)	定义(中文)
HP:0000002	Abnormality of body height	身高异常	Deviation from the norm of height with respect to that which is expected according to age and gender norms.	校对中...
HP:0000003	Multicystic kidney dysplasia	多囊性肾发育不良	Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional.	校对中...
HP:0000005	Mode of inheritance	遗传模式	The pattern in which a particular genetic trait or disorder is passed from one generation to the next.	校对中...
HP:0000006	Autosomal dominant inheritance	常染色体显性遗传	A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele.	校对中...
HP:0000007	Autosomal recessive inheritance	常染色体隐性遗传	A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).	校对中...
HP:0000008	Abnormal morphology of female internal genitalia	女性内生殖器形态异常	An abnormality of the female internal genitalia.	校对中...
HP:0000009	Functional abnormality of the bladder	膀胱功能异常	Dysfunction of the urinary bladder.	校对中...
HP:0000010	Recurrent urinary tract infections	复发性尿路感染	Repeated infections of the urinary tract.	校对中...
HP:0000011	Neurogenic bladder	神经源性膀胱功能障碍	A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention.	校对中...
HP:0000012	Urinary urgency	尿急	Urge incontinence is the strong, sudden need to urinate.	校对中...
HP:0000013	Hypoplasia of the uterus	子宫发育不良	Underdevelopment of the uterus.	校对中...
HP:0000014	Abnormality of the bladder	膀胱异常	An abnormality of the urinary bladder.	校对中...
HP:0000015	Bladder diverticulum	膀胱憩室	Diverticulum (sac or pouch) in the wall of the urinary bladder.	校对中...
HP:0000016	Urinary retention	尿潴留	Inability to completely empty the urinary bladder during the process of urination.	校对中...
HP:0000017	Nocturia	夜尿症	Abnormally increased production of urine during the night leading to an unusually frequent need to urinate.	校对中...
HP:0000019	Urinary hesitancy	排尿踌躇	Difficulty in beginning the process of urination.	校对中...
HP:0000020	Urinary incontinence	尿失禁	Loss of the ability to control the urinary bladder leading to involuntary urination.	校对中...
HP:0000021	Megacystis	巨膀胱症	Dilatation of the bladder postnatally.	校对中...
HP:0000022	Abnormality of male internal genitalia	男性内生殖器异常	An abnormality of the male internal genitalia.	校对中...
HP:0000023	Inguinal hernia	腹股沟疝	Protrusion of the contents of the abdominal cavity through the inguinal canal.	校对中...
HP:0000024	Prostatitis	前列腺炎	The presence of inflammation of the prostate.	校对中...
HP:0000025	Functional abnormality of male internal genitalia	男性内生殖器功能异常		
HP:0000026	Male hypogonadism	男性性腺功能减退症	Decreased functionality of the male gonad, i.e., of the testis, with reduced spermatogenesis or testosterone synthesis.	校对中...
HP:0000027	Azoospermia	无精症	Absence of any measurable level of sperm in his semen.	校对中...
HP:0000028	Cryptorchidism	隐睾	Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum.	校对中...
HP:0000029	Testicular atrophy	睾丸萎缩	Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.	校对中...
HP:0000030	Testicular gonadoblastoma	睾丸性腺母细胞瘤	The presence of a gonadoblastoma of the testis.	校对中...
HP:0000031	Epididymitis	附睾炎	The presence of inflammation of the epididymis.	校对中...
HP:0000032	Abnormality of male external genitalia	男性外生殖器异常	An abnormality of male external genitalia.	校对中...
HP:0000033	Ambiguous genitalia, male	男性外阴性别不明	Ambiguous genitalia in an individual with XY genetic gender.	校对中...
HP:0000034	Hydrocele testis	睾丸鞘膜积液	Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis.	校对中...
HP:0000035	Abnormal testis morphology	睾丸形态异常	An anomaly of the testicle (the male gonad).	校对中...
HP:0000036	Abnormal penis morphology	阴茎形态异常	Abnormality of the male external sex organ.	校对中...
HP:0000037	Male pseudohermaphroditism	男性假两性畸形	Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes.	校对中...
