HPO编号	名称(中文)	定义(中文)
HP:0000002	身高异常	身高偏离该年龄性别预期身高的正常范围。
HP:0000003	多囊性肾发育不全	多囊性肾发育不全的特点是各种大小不一的肾囊肿，缺乏正常肾盂肾盏系统。这种状态伴发输尿管或肾盂输尿管闭锁，受累肾脏无功能。
HP:0000005	遗传模式	
HP:0000006	常染色体显性遗传	
HP:0000007	常染色体隐形遗传	
HP:0000008	女性内生殖器异常	女性内生殖器的异常。
HP:0000009	膀胱机能异常	膀胱的功能异常。
HP:0000010	复发性尿路感染	尿路反复感染。
HP:0000011	神经性膀胱功能障碍	由于神经系统疾患导致排尿过程中无法完全排空膀胱。
HP:0000012	尿急	强烈的、突然要小便而出现的急迫性尿失禁。
HP:0000013	子宫发育不良	子宫发育低下。
HP:0000014	膀胱异常	发生在膀胱的异常。
HP:0000015	膀胱憩室	膀胱壁上存在憩室。
HP:0000016	尿潴留	排尿过程中无法完全排空膀胱。
HP:0000017	夜尿症	夜间尿产量异常增多导致不寻常的频繁排尿。
HP:0000019	排尿困难	排尿过程开始时困难。
HP:0000020	尿失禁	控制膀胱能力丧失，导致非自主排尿。
HP:0000021	巨膀胱症	出生后膀胱扩张。
HP:0000022	男性内生殖器异常	男性内生殖器的异常。
HP:0000023	腹股沟疝	经由腹股沟的腹腔内容物的突起。
HP:0000024	前列腺炎	前列腺出现炎症。
HP:0000025	男性内生殖器功能异常	
HP:0000026	男性性腺功能低下	男性性腺即睾丸功能性减退。
HP:0000027	无精症	精液中检测不到精子。
HP:0000028	隐睾	阴囊内一侧或双侧睾丸缺如，是由于睾丸未通过腹股沟管下降到阴囊。
HP:0000029	睾丸萎缩	睾丸萎缩表现为体积减小和潜在的生育能力丧失。
HP:0000030	睾丸性腺母细胞瘤	睾丸形成性腺母细胞瘤。
HP:0000031	附睾炎	附睾发生的炎症 。
HP:0000032	男性外生殖器异常	男性外生殖器的异常。
HP:0000033	外阴性别不明，男性	`遗传学性别为XY个体的外阴性别不明。
HP:0000034	睾丸鞘膜积液	睾丸鞘膜层之间的透明液体积蓄。
HP:0000035	睾丸异常	睾丸（男性性腺）的异常。
HP:0000036	阴茎异常	
HP:0000037	男性假两性畸形	两性畸形是指性腺的形态和外生殖器不吻合。男性假两性畸形的染色体核型为男性（XY），但外生殖器呈不完全男性化、模棱两可或完全女性化。如果有性腺存在，一般是睾丸。
HP:0000039	尿道上裂	尿道口开口异常，开在阴茎背侧（上面）。
HP:0000040	阴茎增大	
HP:0000041	阴茎下曲	阴茎向下弯曲。
HP:0000042	外生殖器缺如	男性或女性无外生殖器。
HP:0000044	低促性腺素性功能减退症	低促性腺素性功能减退症的特征是性腺（男性的睾丸，女性的卵巢）功能降低，是由于缺乏性腺刺激垂体激素，如卵泡刺激素（FSH）和促黄体生成激素（LH）。
HP:0000045	阴囊异常	
HP:0000046	阴囊发育不良	
HP:0000047	尿道下裂	尿道口开口位于阴茎腹侧面。
HP:0000048	阴囊裂	阴囊左右两部分分离，通常在阴茎根上部汇合。
HP:0000049	披肩状阴囊	阴囊上部皮肤移至阴茎背面根部。
HP:0000050	男性外生殖器发育不良	男性外生殖器（包括阴茎、阴囊和尿道）全部或部分发育低下。
HP:0000051	会阴型尿道下裂	尿道口的位置会阴部的尿道下裂。
HP:0000052	男性尿道闭锁	一种先天性异常，男性的尿道开口闭锁或未发育形成。
HP:0000053	巨大睾丸	异常的大睾丸。
HP:0000054	小阴茎	异常小的阴茎。出生时，正常阴茎大约长3厘米（从耻骨结节到阴茎顶端的拉直了的长度），小于2.0-2.5厘米为小阴茎。
HP:0000055	女性外生殖器异常	女性外生殖器的异常。
HP:0000056	阴蒂异常	阴蒂的异常。
HP:0000057	阴蒂肥大	阴蒂体积增大。
HP:0000058	阴唇异常	阴唇的异常，阴蒂是女阴外部可见部分。
HP:0000059	大阴唇发育不良	大阴唇发育低下。
HP:0000060	阴蒂发育不良	阴蒂的发育低下。
HP:0000061	外阴性别不明，女性	遗传学性别为XX个体的外阴性别不明。
HP:0000062	外阴性别不明	根据生殖器外型无法确定是属于哪一种性别。外阴性别不明可以使用Prader计分来进行评估:Prader 0:正常女性外生殖器；Prader 1:女性外阴但阴蒂增大；Prader 2:阴蒂较大，阴唇部分融合，形成漏斗状阴道口；Prader 3:阴茎增大，阴唇完全融合形成尿生殖窦，有单一的尿道开口。Prader 4:阴囊完全融合，泌尿生殖口在阴茎的根部或阴茎上，类似尿道下裂；Prader 5:正常男性外生殖器。Prader 1-4 诊断为外阴性别不明。
HP:0000063	小阴唇融合	由于阴道阻塞使阴唇粘连而造成的小阴唇融合。
HP:0000064	小阴唇发育不良	
HP:0000065	阴唇肥厚	
HP:0000066	阴唇发育不良	
HP:0000067	女性尿道闭锁	一种先天性异常，女性的尿道开口闭锁或未发育形成。
HP:0000068	尿道闭锁	一种先天性异常，尿道开口闭锁或未发育形成。
HP:0000069	输尿管异常	输尿管的异常。
HP:0000070	输尿管囊肿	输尿管远端段先天性囊状扩张。
HP:0000071	输尿管狭窄	输尿管狭窄，即输尿管缢缩。
HP:0000072	输尿管积水	输尿管内潴留过量尿液导致其扩张。
HP:0000073	输尿管重复	一种发育异常，一侧肾脏通过两根输尿管（而不是一根）连接到膀胱。
HP:0000074	肾盂输尿管连接部梗阻	从肾盂到近端输尿管尿流受到阻塞。
HP:0000075	肾重复	先天性泌尿道异常，其中肾发生并分别经由两个独立的肾盂和输尿管导出。
HP:0000076	膀胱输尿管返流	尿液从膀胱进入输尿管或向肾的异常（反向）流动，与输尿管膀胱处的瓣膜结构异常相关，或存在其他原因。
HP:0000077	肾脏异常	肾脏的异常。
HP:0000078	生殖系统异常	生殖系统的异常。
HP:0000079	泌尿系统异常	泌尿系统的异常。
HP:0000080	生殖生理异常	生殖系统发生的功能异常。
HP:0000081	双套集合管系统	肾集合管系统的重复。
HP:0000083	肾功能不全	肾功能的降低，肾功能包括尿液的浓缩、廓清废物、维持电解质平衡、保持血压体内平衡和钙代谢。
HP:0000085	马蹄肾	由肾实质或纤维组织跨越中线峡部连接左右肾，呈现马蹄状。
HP:0000086	异位肾	由于发育异常导致肾脏不在正常解剖位置。
HP:0000089	肾发育低下	肾发育低下。
HP:0000090	肾消耗病	肾皮髓质交界处囊肿形成伴肾小管间质纤维化。
HP:0000091	肾小管异常	肾小管的异常。
HP:0000092	肾小管萎缩	肾小管形成厚冗余基底膜，或与周围未萎缩小管相比直径减小超过一半。
HP:0000093	蛋白尿	尿液中蛋白质水平增加。
HP:0000095	肾小球异常	肾小球的结构异常。
HP:0000096	肾小球硬化	肾小球内疤痕组织占位。
HP:0000097	局灶性节段性肾小球硬化	在部分（但不是全部）肾小球存在节段性瘢痕组织增加。
HP:0000098	高挑身材	身高高于该年龄性别预期身高的正常范围。
HP:0000099	肾小球肾炎	肾小球的炎症。
HP:0000100	肾病综合征	肾病综合症包含一系列的异常，由肾小球功能障碍所致肾小球毛细血管壁通透性增加而产生明显的蛋白尿。肾病综合征是指严重的肾性蛋白质损失，致蛋白尿、低蛋白血症水肿和高血脂症等一系列临床表现。
HP:0000103	多尿	尿液生成率增加。
HP:0000104	肾发育不全	肾发育不全是指在胚胎形成和发育过程中没有肾脏发育。
HP:0000105	肾增大	肾脏的大小异常增加。
HP:0000107	肾囊肿	肾脏中充满液体的囊。
HP:0000108	肾皮髓质囊肿	皮质和髓质边界的多发性囊肿。
HP:0000110	肾发育不良	肾发育不良。
HP:0000111	肾小球旁细胞肥大/增生	肾小球旁细胞数量增加和体积增大。
HP:0000112	肾病	非特异性术语??，指肾脏的疾病或损伤。
HP:0000113	多囊性肾发育不良	双侧肾脏多发囊肿。
HP:0000114	近端肾小管病	近端肾小管功能障碍，近端肾小管是从肾小囊到细尿管袢（汉勒氏袢）的肾单位的部分管道系统。
HP:0000117	肾源性磷酸盐流失	尿液中高磷酸盐，发生低磷血症。
HP:0000119	泌尿生殖系统异常	泌尿生殖系统的异常。
HP:0000121	肾钙化质沉积症	肾钙质沉着症指是钙盐在肾实质的沉积。
HP:0000122	单侧肾未发育	肾单侧不发育。
HP:0000123	肾炎	肾脏出现炎症反应。
HP:0000124	肾小管功能障碍	
HP:0000125	盆腔肾	一种肾发育缺陷，肾脏解剖位置异常，位于骨盆内。
HP:0000126	肾积水	肾盂和肾盏扩张导致肾脏的严重扩张。
HP:0000127	肾源性盐流失	尿液中一种或多种电解质浓度高，而血清中这些电解质浓度低。
HP:0000128	肾源性钾流失	尿液高钾，发生低钾血症。
HP:0000130	子宫异常	子宫的异常。
HP:0000131	子宫肌瘤	子宫发生肌瘤。
HP:0000132	月经过多症	月经异常增多和经期延长。
HP:0000133	性腺发育不全	
HP:0000134	女性性腺功能低下	女性的性腺即卵巢功能减退。
HP:0000135	性腺机能低下	性腺的功能下降。
HP:0000136	对裂子宫分	子宫裂成两半。
HP:0000137	卵巢异常	卵巢的异常。
HP:0000138	卵巢囊肿	卵巢有一个或多个囊肿。
HP:0000139	子宫脱垂	子宫发生脱垂。
HP:0000140	月经周期异常	排卵周期的异常。
HP:0000141	闭经	
HP:0000142	阴道异常	阴道的异常。
HP:0000143	直肠阴道瘘	直肠和阴道之间的瘘管。
HP:0000144	生育能力下降	
HP:0000145	阴道横隔	
HP:0000147	多囊卵巢	
HP:0000148	阴道闭锁	阴道先天闭塞或阴道壁粘连造成闭锁。
HP:0000149	卵巢性腺母细胞瘤	卵巢中形成性腺母细胞瘤。
HP:0000150	性腺母细胞瘤	性腺内发生的母细胞瘤，由生殖细胞聚集和生殖索成分组成。
HP:0000151	子宫未发育	子宫未能发育。
HP:0000152	头部和颈部的异常	头部和颈部的异常
