身高异常	HP:0000002
多囊性肾发育不良	HP:0000003
遗传模式	HP:0000005
常染色体显性遗传	HP:0000006
常染色体隐性遗传	HP:0000007
女性内生殖器形态异常	HP:0000008
膀胱功能异常	HP:0000009
复发性尿路感染	HP:0000010
神经源性膀胱功能障碍	HP:0000011
尿急	HP:0000012
子宫发育不良	HP:0000013
膀胱异常	HP:0000014
膀胱憩室	HP:0000015
尿潴留	HP:0000016
夜尿症	HP:0000017
排尿踌躇	HP:0000019
尿失禁	HP:0000020
巨膀胱症	HP:0000021
男性内生殖器异常	HP:0000022
腹股沟疝	HP:0000023
前列腺炎	HP:0000024
男性内生殖器功能异常	HP:0000025
男性性腺功能减退症	HP:0000026
无精症	HP:0000027
隐睾	HP:0000028
睾丸萎缩	HP:0000029
睾丸性腺母细胞瘤	HP:0000030
附睾炎	HP:0000031
男性外生殖器异常	HP:0000032
男性外阴性别不明	HP:0000033
睾丸鞘膜积液	HP:0000034
睾丸形态异常	HP:0000035
阴茎形态异常	HP:0000036
男性假两性畸形	HP:0000037
尿道上裂	HP:0000039
长阴茎	HP:0000040
阴茎下曲	HP:0000041
外生殖器缺如	HP:0000042
低促性腺激素性性腺功能减退症	HP:0000044
阴囊异常	HP:0000045
阴囊发育不良	HP:0000046
尿道下裂	HP:0000047
阴囊对裂	HP:0000048
披肩状阴囊	HP:0000049
男性外生殖器发育不良	HP:0000050
会阴型尿道下裂	HP:0000051
男性尿道闭锁	HP:0000052
巨睾	HP:0000053
小阴茎	HP:0000054
女性外生殖器异常	HP:0000055
阴蒂异常	HP:0000056
阴唇形态异常	HP:0000058
大阴唇发育不良	HP:0000059
阴蒂发育不良	HP:0000060
女性外阴性别不明	HP:0000061
外阴性别不明	HP:0000062
小阴唇融合	HP:0000063
小阴唇发育不良	HP:0000064
阴唇肥厚	HP:0000065
阴唇发育不良	HP:0000066
女性尿道闭锁	HP:0000067
尿道闭锁	HP:0000068
输尿管异常	HP:0000069
输尿管囊肿	HP:0000070
输尿管狭窄	HP:0000071
输尿管积水	HP:0000072
输尿管重复	HP:0000073
肾盂输尿管连接部梗阻	HP:0000074
肾重复	HP:0000075
膀胱输尿管返流	HP:0000076
肾脏异常	HP:0000077
生殖系统异常	HP:0000078
泌尿系统异常	HP:0000079
生殖系统生理机能异常	HP:0000080
集合管系统重复	HP:0000081
肾功能不全	HP:0000083
马蹄肾	HP:0000085
异位肾	HP:0000086
肾发育不全	HP:0000089
肾结核	HP:0000090
肾小管形态异常	HP:0000091
肾小管萎缩	HP:0000092
蛋白尿	HP:0000093
