CLPP	OMIM:614129
MKKS	ORPHA:2473
MKKS	ORPHA:110
MKKS	OMIM:605231
MKKS	OMIM:236700
RALGAPA1	OMIM:618797
GDF5	OMIM:200700
GDF5	ORPHA:2098
GDF5	OMIM:201250
GDF5	ORPHA:2639
GDF5	OMIM:610017
GDF5	OMIM:615298
GDF5	OMIM:112600
GDF5	ORPHA:968
GDF5	ORPHA:93388
GDF5	OMIM:615072
GDF5	OMIM:113100
GDF5	ORPHA:3237
GDF5	ORPHA:3250
GDF5	ORPHA:93384
GDF5	ORPHA:93396
GDF5	ORPHA:63442
GDF5	OMIM:228900
TSR2	ORPHA:124
TSR2	OMIM:300946
NRIP1	OMIM:618270
AARS1	OMIM:619691
AARS1	OMIM:616339
AARS1	OMIM:619661
AARS1	ORPHA:442835
AARS1	OMIM:613287
ABAT	OMIM:613163
ABCA1	OMIM:604091
ABCA1	OMIM:205400
ABCA1	ORPHA:425
ABCA1	ORPHA:31150
ABCA2	OMIM:618808
ABCA3	ORPHA:2032
ABCA3	OMIM:610921
ABCA3	ORPHA:70587
ABCB7	ORPHA:2802
ABCB7	OMIM:301310
DGCR6	OMIM:192430
AMER1	OMIM:300373
AMER1	ORPHA:2780
ABCA4	OMIM:248200
ABCA4	ORPHA:791
ABCA4	OMIM:604116
ABCA4	ORPHA:827
ABCA4	ORPHA:1872
ABCA4	OMIM:601718
ABCA4	OMIM:153800
LZTR1	OMIM:605275
LZTR1	OMIM:615670
LZTR1	OMIM:616564
LZTR1	ORPHA:648
ABL1	ORPHA:521
ABL1	OMIM:617602
ABL1	OMIM:608232
CLTCL1	ORPHA:453510
ESS2	OMIM:192430
ACACA	OMIM:613933
ACADM	OMIM:201450
ACADM	ORPHA:42
ACADS	OMIM:201470
ACADS	ORPHA:26792
AICDA	OMIM:605258
ACADSB	OMIM:610006
APCDD1	OMIM:605389
APCDD1	ORPHA:55654
ACADVL	ORPHA:26793
ACADVL	OMIM:201475
ACAT1	OMIM:203750
ACAT1	ORPHA:134
ACAT2	OMIM:614055
DNAJC19	ORPHA:66634
DNAJC19	OMIM:610198
USP9X	OMIM:300919
USP9X	OMIM:300968
USP9X	ORPHA:480880
HS6ST2	OMIM:301025
RBM10	ORPHA:2886
RBM10	OMIM:311900
CLTRN	ORPHA:2116
KDM5C	OMIM:300534
KDM5C	ORPHA:85279
ACO2	OMIM:614559
ACO2	OMIM:616289
ACOX1	OMIM:618960
ACOX1	OMIM:264470
ACOX1	ORPHA:2971
SMC1A	ORPHA:199
SMC1A	OMIM:301044
SMC1A	ORPHA:220386
SMC1A	OMIM:300590
SMC1A	ORPHA:3095
ACP5	ORPHA:1855
ACP5	OMIM:607944
FRMD7	OMIM:310700
ACTA1	ORPHA:97240
ACTA1	ORPHA:171430
ACTA1	ORPHA:171439
ACTA1	ORPHA:97244
ACTA1	OMIM:161800
ACTA1	ORPHA:171436
ACTA1	ORPHA:171433
ACTA1	OMIM:255310
ACTA1	ORPHA:2020
ACTA1	OMIM:616852
ACTA2	ORPHA:2573
ACTA2	OMIM:611788
ACTA2	ORPHA:91387
ACTA2	OMIM:613834
ACTA2	OMIM:614042
ACTB	ORPHA:64755
ACTB	ORPHA:79107
ACTB	ORPHA:2995
ACTB	OMIM:243310
ACTB	OMIM:607371
SCYL1	ORPHA:466794
SCYL1	OMIM:616719
SAMD12	ORPHA:86814
SAMD12	OMIM:601068
NAA10	ORPHA:276432
NAA10	OMIM:300855
NAA10	ORPHA:568
NAA10	OMIM:309800
ACTC1	OMIM:613424
ACTC1	OMIM:612794
ACTC1	OMIM:612098
ACTC1	ORPHA:99103
ACTC1	ORPHA:154
ACTG1	OMIM:604717
ACTG1	ORPHA:2995
ACTG1	OMIM:614583
ACTG2	ORPHA:2604
ACTG2	OMIM:619431
ACTG2	OMIM:155310
ACTG2	ORPHA:2241
LAGE3	ORPHA:2065
LAGE3	OMIM:301006
ISCA2	OMIM:616370
ACTN4	OMIM:603278
ACTN4	ORPHA:656
AK9	ORPHA:98913
ACTN1	OMIM:615193
ACTN2	OMIM:618655
ACTN2	OMIM:612158
ACTN2	ORPHA:154
ACTN2	OMIM:618654
ACVR1	OMIM:135100
ACVR1	ORPHA:337
KDM5D	OMIM:415000
ACVR2B	OMIM:613751
ACVRL1	OMIM:600376
ACVRL1	ORPHA:774
ACY1	ORPHA:137754
ACY1	OMIM:609924
USP9Y	ORPHA:1646
USP9Y	OMIM:415000
ARID1A	ORPHA:1465
ARID1A	OMIM:614607
DYSF	ORPHA:45448
DYSF	OMIM:254130
DYSF	OMIM:253601
DYSF	ORPHA:178400
DYSF	OMIM:606768
DYSF	ORPHA:268
COLQ	OMIM:603034
COLQ	ORPHA:98915
ADA	OMIM:102700
ADA	ORPHA:277
ADA	ORPHA:39041
ADAM10	OMIM:615537
H4C9	OMIM:619951
TRRAP	OMIM:618778
TRRAP	OMIM:618454
ADAR	OMIM:127400
ADAR	OMIM:615010
ADAR	ORPHA:51
ADAR	ORPHA:41
ADAR	ORPHA:225154
ADARB1	OMIM:618862
PLEKHG5	OMIM:611067
PLEKHG5	OMIM:615376
ADCY1	OMIM:610154
PICALM	OMIM:601626
ADCY3	OMIM:617885
KLRC4	ORPHA:117
ADCY5	OMIM:619647
ADCY5	OMIM:619651
ADCY5	OMIM:606703
ADCY5	ORPHA:324588
ADCY5	ORPHA:1429
SLITRK1	OMIM:137580
SLITRK1	OMIM:613229
ADCY6	OMIM:616287
ADCY6	ORPHA:2680
MYSM1	OMIM:618116
MYSM1	ORPHA:508542
BRWD3	OMIM:300659
GATAD2B	OMIM:615074
GATAD2B	ORPHA:363686
ACOX2	OMIM:617308
ADD1	OMIM:145500
MYORG	OMIM:618317
MYORG	ORPHA:1980
AXIN1	OMIM:114550
AXIN1	OMIM:607864
ADD3	OMIM:617008
TBC1D24	OMIM:614617
TBC1D24	ORPHA:352582
TBC1D24	OMIM:616044
TBC1D24	OMIM:615338
TBC1D24	ORPHA:79500
TBC1D24	OMIM:220500
TBC1D24	OMIM:608105
TBC1D24	ORPHA:352596
TBC1D24	OMIM:605021
TBC1D24	ORPHA:163727
AXIN2	OMIM:608615
AXIN2	ORPHA:99798
AXIN2	ORPHA:401911
AXIN2	OMIM:114500
BAP1	ORPHA:39044
BAP1	ORPHA:50251
BAP1	ORPHA:618
BAP1	OMIM:614327
